,x,y,facility_id,facility_name,facility_type,primary_commodity,commodities_products,facility_equipment,Country,country,capacity_tpa,commodity,value_tonnes,material,material_name,material_category,material_category_2,value_tonnes_material,input,output,input_value_tonnes,output_value_tonnes
1261,110.581900256732,39.0817860377791,COM00883.00,Nanliang,Mine,Coal,Coal,Underground,China,CN,,,2610000.0,F.coal,Coal (unspecified),ff_mineral,coal & peat,,,,,
1262,,,COM00884.00,Narama,Mine,Coal,Coal,,Australia,AU,,,1252951.0,F.coal,Coal (unspecified),ff_mineral,coal & peat,,,,,
1263,149.895206981496,-30.5194191595718,COM00885.00,Narrabri,Mine,Coal,Coal,Underground,Australia,AU,,,7703000.0,F.coal,Coal (unspecified),ff_mineral,coal & peat,,,,,
1264,15.7658529,-21.9838412,COM00886.00,Navachab,Mine,Gold,Gold,,Namibia,NA,,Me.Au,2.466,O.Au,Gold dominant ore,mineral,metal ore,1600000.0,,,,
1265,-108.5140161,36.5859286,COM00887.00,Navajo,Mine,Coal,"Thermal bituminous coal, Sub-bituminous coal",Open pit,United States of America,US,,,8365000.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1266,124.596488229188,56.7133621121041,COM00888.00,Neryungrinsky,Mine,Coal,"Coking coal, Thermal coal",Open pit,Russian Federation,RU,,,9000000.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1267,-7.9780958,37.5750189,COM00889.00,Neves Corvo,Mine,Copper,"Copper, Zinc, Lead, Silver, Tin",Underground,Portugal,PT,,Me.Cu,90182.0,O.Cu,Copper dominant ore,mineral,metal ore,3197783.0,,,,
1268,-7.9780958,37.5750189,COM00889.00,Neves Corvo,Mine,Copper,"Copper, Zinc, Lead, Silver, Tin",Underground,Portugal,PT,,Me.Zn,75435.0,O.Zn,Zinc dominant ore,mineral,metal ore,1153000.0,,,,
1269,-7.9780958,37.5750189,COM00889.00,Neves Corvo,Mine,Copper,"Copper, Zinc, Lead, Silver, Tin",Underground,Portugal,PT,,Me.Ag,50.774,O.bulk,Bulk metal ore,mineral,metal ore,2168000.0,,,,
1270,-7.9780958,37.5750189,COM00889.00,Neves Corvo,Mine,Copper,"Copper, Zinc, Lead, Silver, Tin",Underground,Portugal,PT,,Me.Cu,82900.0,O.bulk,Bulk metal ore,mineral,metal ore,2168000.0,,,,
1271,-7.9780958,37.5750189,COM00889.00,Neves Corvo,Mine,Copper,"Copper, Zinc, Lead, Silver, Tin",Underground,Portugal,PT,,Me.Pb,6571.0,O.bulk,Bulk metal ore,mineral,metal ore,2168000.0,,,,
1272,-7.9780958,37.5750189,COM00889.00,Neves Corvo,Mine,Copper,"Copper, Zinc, Lead, Silver, Tin",Underground,Portugal,PT,,Me.Sn,1201.0,O.bulk,Bulk metal ore,mineral,metal ore,2168000.0,,,,
1273,-7.9780958,37.5750189,COM00889.00,Neves Corvo,Mine,Copper,"Copper, Zinc, Lead, Silver, Tin",Underground,Portugal,PT,,Me.Zn,501.0,O.bulk,Bulk metal ore,mineral,metal ore,2168000.0,,,,
1274,-7.9780958,37.5750189,COM00889.00,Neves Corvo,Mine,Copper,"Copper, Zinc, Lead, Silver, Tin",Underground,Portugal,PT,,Me.Ag,26.227,,,,,,,,,
1275,29.3162497374643,-26.1356076895148,COM00890.00,New Clydesdale,Mine,Coal,Thermal coal,"Open pit, Underground",South Africa,ZA,,,3955000.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1276,29.353190374381,-26.7407080909792,COM00891.00,New Denmark,Mine,Coal,Thermal coal,,South Africa,ZA,,,5508500.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1277,,,COM00892.00,New Lexington,Mine,Coal,Bituminous coal,Surface,United States of America,US,,,761141.0,F.obc,Other bituminous coal,ff_mineral,coal & peat,,,,,
1278,27.960924903133,-26.7300308524854,COM00893.00,New Vaal,Mine,Coal,Thermal coal,,South Africa,ZA,,,17623300.0,F.stc,Steam coal,aggregate,coal & peat aggregate,,,,,
1279,147.88775076058,-21.1968895981473,COM00894.00,Newlands,Mine,Coal,"Metallurgical coal, Thermal coal",Open pit,Australia,AU,,,9945000.0,F.coal,Coal (unspecified),ff_mineral,coal & peat,,,,,
1280,79.5041010421157,11.5723182992185,COM00895.00,Neyveli I,Mine,Coal,Lignite,Open pit,India,IN,,,10548000.0,F.coal,Coal (unspecified),ff_mineral,coal & peat,,,,,
1281,79.5261831591658,11.5707228306949,COM00896.00,Neyveli IA,Mine,Coal,Lignite,Open pit,India,IN,,,3804000.0,F.coal,Coal (unspecified),ff_mineral,coal & peat,,,,,
1282,79.4760573470602,11.5208619584057,COM00897.00,Neyveli II,Mine,Coal,Lignite,Open pit,India,IN,,,14023000.0,F.coal,Coal (unspecified),ff_mineral,coal & peat,,,,,
1283,115.768189677399,-32.2531786177093,COM00898.00,Nickel West Kwinana refinery,Refinery,Processing,"Nickel briquette, nickel powder",Refinery,Australia,AU,79000.0,,,,,,,,,,,
1284,121.570094894842,-21.6570737732117,COM00899.00,Nifty,Mine,Copper,Copper,,Australia,AU,,Me.Cu,31499.0,O.Cu,Copper dominant ore,mineral,metal ore,1675277.0,,,,
1285,7.97150106004245,58.138423636545,COM00900.00,Nikkelverk,Smelter,Processing,"Refined Nickel, Refined Copper, Refined Cobalt,  Refined Gold, Refined Silver",,Norway,NO,,,,,,,,,,,,
1286,31.9589056364079,46.7765692027055,COM00901.00,Nikolaev Alumina,Refinery,Processing,"Alumina, Metallurgical alumina, Alumina pitch, metallic gallium",Bayer process plant,Ukraine,UA,1700000.0,Me.Al2O3,,,,,,,Bauxite,Alumina,,1715000.0
1287,81.8892914102412,50.5873387232852,COM00902.00,Nikolayevsky,Mine,Copper,"Copper, Zinc, Gold, Silver",,Kazakhstan,KZ,,Me.Ag,22.156,O.bulk,Bulk metal ore,mineral,metal ore,603000.0,,,,
1288,81.8892914102412,50.5873387232852,COM00902.00,Nikolayevsky,Mine,Copper,"Copper, Zinc, Gold, Silver",,Kazakhstan,KZ,,Me.Au,0.408,O.bulk,Bulk metal ore,mineral,metal ore,603000.0,,,,
1289,81.8892914102412,50.5873387232852,COM00902.00,Nikolayevsky,Mine,Copper,"Copper, Zinc, Gold, Silver",,Kazakhstan,KZ,,Me.Cu,10431.9,O.bulk,Bulk metal ore,mineral,metal ore,603000.0,,,,
1290,81.8892914102412,50.5873387232852,COM00902.00,Nikolayevsky,Mine,Copper,"Copper, Zinc, Gold, Silver",,Kazakhstan,KZ,,Me.Zn,21090.3,O.bulk,Bulk metal ore,mineral,metal ore,603000.0,,,,
1291,,,COM00903.00,Niquelandia,Mine,Other mine,Nickel,,Brazil,BR,,,,,,,,,,,,
1292,30.5937481,-25.7234415,COM00904.00,Nkomati,Mine,Nickel,"Nickel, Copper, Cobalt, Palladium, Platinum, Chrome","Open pit, Underground",South Africa,ZA,,Me.Co,1133.0,O.bulk,Bulk metal ore,mineral,metal ore,8240000.0,,,,
1293,30.5937481,-25.7234415,COM00904.00,Nkomati,Mine,Nickel,"Nickel, Copper, Cobalt, Palladium, Platinum, Chrome","Open pit, Underground",South Africa,ZA,,Me.Cu,10116.0,O.bulk,Bulk metal ore,mineral,metal ore,8240000.0,,,,
1294,30.5937481,-25.7234415,COM00904.00,Nkomati,Mine,Nickel,"Nickel, Copper, Cobalt, Palladium, Platinum, Chrome","Open pit, Underground",South Africa,ZA,,Me.Ni,23220.0,O.bulk,Bulk metal ore,mineral,metal ore,8240000.0,,,,
1295,30.5937481,-25.7234415,COM00904.00,Nkomati,Mine,Nickel,"Nickel, Copper, Cobalt, Palladium, Platinum, Chrome","Open pit, Underground",South Africa,ZA,,Me.pgm,5.241,O.bulk,Bulk metal ore,mineral,metal ore,8240000.0,,,,
1296,,,COM00905.00,Noble,Mine,Coal,Bituminous coal,Surface,United States of America,US,,,453600.0,F.obc,Other bituminous coal,ff_mineral,coal & peat,,,,,
