Plant ID,Plant name (English),Country,Coordinate accuracy,Status,Start date,Plant age (years),Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Main production process,country,y,x
STR00009,Isdemir Payas steel plant,Türkiye,exact,operating,1977,46,5800,5800,,,8100,8100,,,>0,>0,,semi-finished; finished rolled,integrated (BF),TR,36.735672, 36.204581
STR00014,MMK Türkiye Metallurgical Payas plant,Türkiye,exact,operating,2011,12,2500,,2500,,,,,,,,,semi-finished; finished rolled,electric,TR,36.768975, 36.213842
STR00016,Aba Iron and Steel Payas plant,Türkiye,exact,operating,1983,40,1100,1100,unknown,,1100,1100,,,unknown,unknown,unknown,unknown,integrated (BF),TR,36.747413, 36.217330
STR00024,Koc Metallurgical Payas plant,Türkiye,exact,operating,1994,29,,,,,500,500,,,,,,crude,ironmaking (BF),TR,36.747538, 36.217172
STR00003,Ege Steel Aliaga plant,Türkiye,exact,operating,2001,22,2000,,2000,,,,,,,,,semi-finished; finished rolled,electric,TR,38.728005, 26.940095
STR00006,Habas Aliaga steel plant,Türkiye,exact,operating,1987,36,4500,,4500,,,,,,,,,semi-finished; finished rolled,electric,TR,38.751462, 26.950172
STR00008,İDÇ Izdemir Aliaga steel plant,Türkiye,exact,operating,1987,36,1400,,1400,,,,,,,,,semi-finished; finished rolled,electric,TR,38.739596, 26.929091
STR00017,Ozkan Iron and Steel Aliaga plant,Türkiye,exact,operating,2010,13,1200,,1200,,,,,,,,,semi-finished; finished rolled,electric,TR,38.737005, 26.950824
STR00028,Kardemir Celik Sanayi Izmir steel plant,Türkiye,approximate,operating,2022,1,1250,,1250,,,,,,,,,finished rolled,electric,TR,38.743652, 26.964746
STR00011,Kardemir Merkez steel plant,Türkiye,exact,operating,1939,84,3500,3500,,,3313,3313,,,3750,1170,,semi-finished; finished rolled,integrated (BF),TR,41.180307, 32.634343
STR00013,Kroman Steel Darica plant,Türkiye,exact,operating,1969,54,1400,,1400,,,,,,,,,semi-finished; finished rolled,electric,TR,40.801101, 29.374115
STR00001,Colakoglu Metallurgical Dilovasi plant,Türkiye,exact,operating,1969,54,6000,,6000,,,,,,,,,semi-finished; finished rolled,electric,TR,40.768409, 29.529979
STR00002,Diler Iron and Steel Dilovasi plant,Türkiye,exact,operating,1984,39,1500,,1500,,,,,,,,,semi-finished; finished rolled,electric,TR,40.783161, 29.533568
STR00018,Siddik Kardesler Dilovasi steel plant,Türkiye,exact,operating,2017,6,690,,690,,,,,,,,,semi-finished; finished rolled,electric,TR,40.800833, 29.512008
STR00012,Koc Metallurgical Toprakkale plant,Türkiye,exact,operating,2013,10,1200,,1200,,,,,,,,,semi-finished; finished rolled,electric,TR,37.014880, 36.104416
STR00019,Toscelik Toprakkale steel plant,Türkiye,exact,operating,2009,14,2000,,2000,,,,,,,,,semi-finished; finished rolled,electric,TR,37.016956, 36.109110
STR00023,Bastug Metallurgical Toprakkale plant,Türkiye,exact,operating,2010,13,2000,,2000,,,,,,,,,semi-finished; finished rolled,electric,TR,37.016498, 36.095126
STR00022,Yesilyurt Iron and Steel Tekkekoy plant,Türkiye,exact,operating,1997,26,1300,,1300,,,,,,,,,semi-finished; finished rolled,electric,TR,41.241199, 36.442055
STR00010,Kaptan Ereglisi steel plant,Türkiye,exact,operating,2002,21,1400,,1400,,,,,,,,,semi-finished; finished rolled,electric,TR,41.015222, 27.959978
STR00005,Erdemir Eregli steel plant,Türkiye,exact,operating,1965,58,4000,4000,,,3575,3575,,,>0,>0,,semi-finished; finished rolled,integrated (BF),TR,41.261469, 31.420106
SUA00011,Interpipe Steel Plant,Ukraine,exact,operating,2012,11,1320,,1320,,,,,,,,,semi-finished,electric,UA,48.492146, 35.092673
SUA00005,Metallurgical Plant Kametstal,Ukraine,exact,operating,1887,136,4200,4200,,,4350,4350,,,5600,unknown,unknown,semi-finished; finished rolled,integrated (BF),UA,48.528019, 34.640915
SUA00002,ArcelorMittal Kryvyi Rih steel plant,Ukraine,exact,operating,1934,89,8000,6500,,1500,11450,11450,,,13331,2400,,semi-finished; finished rolled,integrated (BF),UA,47.874411, 33.392993
SUA00004,Yuzovsky Metallurgical Plant,Ukraine,exact,operating,1999,24,1000,,1000,,,,,,,,,unknown,electric,UA,47.982276, 37.810634
SUA00006,Donetsksteel Metallurgical Plant,Ukraine,exact,operating,2002,21,,,,,1500,1500,,,,,,crude,integrated (BF),UA,47.982276, 37.810634
SUA00008,Yenakiieve Iron & Steel Works,Ukraine,exact,operating,1895,128,3300,3300,,,2600,2600,,,2000,,,semi-finished; finished rolled,integrated (BF),UA,48.220502, 38.228626
SUA00001,Alchevsk Iron & Steel plant,Ukraine,exact,operating,1896,127,5472,5472,,,5320,5320,,,5400,3840,unknown,semi-finished; finished rolled,integrated (BF),UA,48.478111, 38.770787
SUA00012,Metinvest Zaporizhstal steel plant,Ukraine,exact,operating,1933,90,4100,,,4100,4359,4359,,,6300,,,finished rolled,integrated (BF),UA,47.868380, 35.161773
SGB00002,British Steel Scunthorpe plant,United Kingdom,exact,operating,1864,159,3200,3200,,,3000,3000,,,>0,>0,,semi-finished; finished rolled,integrated (BF),GB,53.580827, -0.616509
SGB00004,GFG Liberty Steel Rotherham plant,United Kingdom,exact,operating,unknown,unknown,1220,,1220,,,,,,,,,semi-finished; finished rolled,electric,GB,53.450712, -1.323025
SGB00006,Marcegaglia Sheffield steel plant,United Kingdom,exact,operating,unknown,unknown,500,,500,,,,,>0,,,,crude; semi-finished,electric,GB,53.399598, -1.395818
SGB00003,Celsa Steel UK Cardiff plant,United Kingdom,exact,operating,2006,17,1200,,1200,,,,,,,,,semi-finished; finished rolled,electric,GB,51.472502, -3.157583
SGB00001,Tata Steel Port Talbot steel plant,United Kingdom,exact,operating,1905,118,5000,5000,,,4770,4770,,,>0,>0,unknown,semi-finished; finished rolled,integrated (BF),GB,51.577368, -3.783013
SBH00001,Sulb Bahrain Al Hidd steel plant,Bahrain,exact,operating,2012,11,1100,,1100,,1600,,1600,,,,12000,crude; semi-finished; finished rolled,integrated (DRI),BH,26.198152, 50.679893
SIR00035,Mobarakeh Steel Sefid Dasht Steel Complex,Iran,exact,operating,2016,7,,,,,800,,800,,unknown,,unknown,unknown,ironmaking (DRI),IR,32.156673, 51.199541
SIR00035-1,Mobarakeh Steel Sefid Dasht Steel Complex EAF expansion (phase I),Iran,exact,operating,2021,2,1000,,1000,,,,,,unknown,,unknown,unknown,integrated (DRI),IR,32.156673, 51.199541
SIR00035-2,Mobarakeh Steel Sefid Dasht Steel Complex EAF expansion (phase II),Iran,exact,operating,2022,1,1000,,1000,,,,,,unknown,,unknown,unknown,integrated (DRI),IR,32.156673, 51.199541
SIR00040,Bonab Steel Complex,Iran,exact,operating,2013,10,1400,,1400,,,,,,,,,unknown,electric,IR,37.417437, 46.035778
SIR00024,Miyaneh Steel East Azerbaijan,Iran,approximate,operating,2018,5,800,,800,,800,,800,,,,,unknown,integrated (DRI),IR,37.424355, 47.722764
SIR00007,Pasargad Steel Complex Fars,Iran,exact,operating,2013,10,1500,,1500,,1800,,1800,,,,3400,semi-finished; finished rolled,integrated (DRI),IR,29.191019, 52.845405
SIR00034,Neyriz Ghadir Steel Company Fars plant,Iran,exact,operating,2018,5,,,,,800,,800,,,,,crude,ironmaking (DRI),IR,29.168087, 54.621487
SIR00034-1,Neyriz Ghadir Steel Company Fars plant EAF expansion,Iran,exact,operating,2023,0,1000,,1000,,,,,,,,>0,semi-finished,electric,IR,29.168087, 54.621487
SIR00002,Mobarakeh Steel Hormuzgan Steel Company plant,Iran,exact,operating,2011,12,1500,,1500,,1650,,1650,,unknown,,,semi-finished; finished rolled,integrated (DRI),IR,27.164518, 56.094358
SIR00019,Kish South Kaveh Steel Hormuzgan plant,Iran,approximate,operating,2011,12,1200,,1200,,1860,,1860,,,,,unknown,integrated (DRI),IR,27.188071, 56.246848
SIR00019-1,Kish South Kaveh Steel Hormuzgan plant EAF expansion,Iran,approximate,operating,2020,3,1200,,1200,,,,,,,,,unknown,electric,IR,27.188071, 56.246848
SIR00015,Qeshm Steel Development Hormuzgan plant,Iran,approximate,operating,2021,2,1500,,1500,,1700,,1700,,unknown,,5000,unknown,integrated (DRI),IR,26.826494, 55.957708
SIR00015-1,Qeshm Steel Development Hormuzgan plant DRI and EAF expansion,Iran,approximate,operating,2023,0,1500,,1500,,1700,,1700,,unknown,,,,integrated (DRI),IR,26.826494, 55.957708
SIR00001,Esfahan Steel Isfahan plant,Iran,exact,operating,1971,52,4600,3600,1000,,3600,3600,,,unknown,>0,unknown,crude; semi-finished; finished rolled,integrated (BF),IR,32.418304, 51.331314
SIR00005,Mobarakeh Steel Complex Isfahan,Iran,exact,operating,1991,32,10000,,10000,,5000,,5000,,5600,,>0,semi-finished; finished rolled,integrated (DRI),IR,32.238827, 51.424746
SIR00006,Natanz Steel Company Isfahan plant,Iran,exact,operating,1999,24,1000,,1000,,1500,,1500,,unknown,,unknown,semi-finished; finished rolled,integrated (DRI),IR,33.428593, 51.982273
SIR00036,Golgohar Iron & Steel Company Kerman,Iran,approximate,operating,2015,8,,,,,3260,,3260,,unknown,,unknown,unknown,ironmaking (DRI),IR,29.928026, 56.576885
SIR00021,Sirjan Iranian Steel Kerman Plant,Iran,exact,operating,2013,10,1000,,1000,,1000,,1000,,4000,,2500,crude,integrated (DRI),IR,29.928062, 56.736539
SIR00013,Butia Steel Kerman plant,Iran,approximate,operating,2011,12,1500,,1500,,2000,,2000,,unknown,,2500,semi-finished; finished rolled,integrated (DRI),IR,30.602249, 56.911473
SIR00010,Jahan Foolad Sirjan Steel Kerman plant,Iran,exact,operating,2009,14,1200,,1200,,2700,,2700,,unknown,,unknown,crude; semi-finished,integrated (DRI),IR,29.091397, 55.333468
SIR00009,Zarand Iranian Steel Company Kerman plant,Iran,exact,operating,2008,15,1500,1500,,,1700,1700,,,2000,1200,2500,semi-finished; finished rolled,integrated (BF),IR,30.755200, 56.664215
SIR00004,Khouzestan Steel plant Shadegan,Iran,exact,operating,1989,34,3600,,3600,,4000,,4000,,unknown,,3100,semi-finished,integrated (DRI),IR,30.429452, 49.093818
SIR00011,Arvand Jahanara Steel Khouzestan plant,Iran,exact,operating,2021,2,1500,,1500,,,,,,unknown,,unknown,unknown,electric,IR,30.505458, 48.272024
SIR00011-1,Arvand Jahanara Steel Khouzestan plant EAF expansion (phase I),Iran,exact,operating,2022,1,1200,,1200,,,,,,unknown,,unknown,,electric,IR,30.505458, 48.272024
SIR00028,Azna Steel Lorestan plant,Iran,exact,operating,2020,3,1200,,1200,,unknown,,unknown,,unknown,,unknown,semi-finished,electric,IR,33.461898, 49.459994
SIR00003,Khorasan Steel Complex Khuzestan,Iran,exact,operating,2001,22,1500,,1500,,1800,,1800,,unknown,,2500,crude; semi-finished,integrated (DRI),IR,36.343459, 58.673691
SIR00026,Ghaenat Steel Complex South Khorasan,Iran,approximate,operating,2022,1,800,,800,,800,,800,,unknown,,unknown,unknown,integrated (DRI),IR,33.729751, 59.185881
SIR00008,Ghadir Iron & Steel plant Yazd,Iran,exact,operating,2011,12,800,,800,,800,,800,,unknown,,unknown,crude,integrated (DRI),IR,32.389571, 53.750272
SIR00030,Ardakan Steel Yazd plant,Iran,exact,operating,2012,11,,,,,1500,,1500,,unknown,,unknown,crude,ironmaking (DRI),IR,32.373942, 53.759655
SIR00020,Arfa Iron and Steel Yazd plant,Iran,exact,operating,1991,32,800,,800,,800,,800,,unknown,,unknown,crude; semi-finished,integrated (DRI),IR,32.393090, 53.756600
SIR00022,Iran Alloy Steel Company Yazd plant,Iran,exact,operating,1999,24,600,,600,,,,,,,,,crude; semi-finished; finished rolled,electric,IR,31.940106, 54.037614
SIR00029,Bafgh Mineral Complex Iron & Steel Yazd plant,Iran,exact,operating,2023,0,1200,,1200,,800,,800,,,,5000,semi-finished; finished rolled,integrated (DRI),IR,31.699307, 55.440187
SIR00012,West Alborz Ana Steel Zanjan plant,Iran,approximate,operating,2005,18,1500,,1500,,1200,,1200,150,2000,,1800,semi-finished,integrated (DRI),IR,36.119288, 49.306341
SIR00012-1,West Alborz Ana Steel Zanjan plant EAF expansion,Iran,approximate,operating,2021,2,1000,,1000,,unknown,,unknown,,unknown,,unknown,,electric,IR,36.119288, 49.306341
