Plant ID,Plant name (English),Country,Coordinate accuracy,Status,Start date,Plant age (years),Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Main production process,country,y,x
SUS00028,Nucor Steel Decatur plant,United States,exact,operating,1997,26,2268,,2268,,,,,,,,,finished rolled,electric,US,34.639630, -87.085738
SUS00033,Nucor Steel Tuscaloosa plant,United States,exact,operating,1985,38,1200,,1200,,,,,,,,,semi-finished; finished rolled,electric,US,33.234761, -87.508498
SUS00078,CMC Arizona steel plant,United States,exact,operating,2009,14,354,,354,,,,,,,,,finished rolled,electric,US,33.285828, -111.586561
SUS00025,Nucor Steel Hickman plant,United States,exact,operating,1992,31,2450,,2450,,,,,,,,,finished rolled,electric,US,35.901162, -89.776190
SUS00032,Nucor-Yamato Steel Blytheville plant,United States,exact,operating,1988,35,2632,,2632,,,,,,,,,finished rolled,electric,US,35.941421, -89.713819
SUS00066,Gerdau Fort Smith steel plant,United States,exact,operating,1984,39,550,,550,,,,,,,,,semi-finished; finished rolled,electric,US,35.307055, -94.372912
SUS00011,U.S. Steel Big River Steel plant,United States,exact,operating,2014,9,3300,,3300,,,,,,,,,finished rolled,electric,US,35.644264, -89.941659
SUS00013,Evraz Pueblo steel plant,United States,exact,operating,1881,142,1100,,1100,,,,,,,,,finished rolled,electric,US,38.225770, -104.607895
SUS00073,CMC Steel Florida plant,United States,exact,operating,2006,17,949,,949,,,,,,,,,finished rolled,electric,US,30.282907, -81.978735
SUS00063,Gerdau Cartersville steel plant,United States,exact,operating,1996,27,908,,908,,,,,,,,,semi-finished; finished rolled,electric,US,34.241226, -84.799539
SUS00082,Alton Steel plant,United States,exact,operating,2003,20,680.38875,,680.38875,,,,,,,,,finished rolled,electric,US,38.884465, -90.14579
SUS00030,Nucor Steel Kankakee plant,United States,exact,operating,1961,62,794,,794,,,,,,,,,finished rolled,electric,US,41.180734, -87.856196
SUS00062,Finkl Steel Chicago plant,United States,exact,operating,2011,12,573,,573,,,,,,,,,crude; semi-finished; finished rolled,electric,US,41.724915, -87.589968
SUS00051,U.S. Steel Granite City Works,United States,exact,operating,1895,128,2800,2800,,,2540,2540,,,unknown,>0,unknown,crude; semi-finished; finished rolled,integrated (BF),US,38.695049, -90.136073
SUS00060,Liberty Steel & Wire Peoria plant,United States,exact,operating,1998,25,725,,725,,,,,,,,,semi-finished; finished rolled,electric,US,41.513249, -87.621438
SUS00005,Cleveland-Cliffs Riverdale steel plant,United States,exact,operating,1917,106,1000,1000,,,,,,,,,unknown,finished rolled,oxygen,US,41.657321, -87.625702
SUS00044,Leggett & Platt Sterling Steel plant,United States,exact,operating,2003,20,1698,,1698,,,,,,,,,semi-finished; finished rolled,electric,US,41.785971, -89.710947
SUS00006,Cleveland-Cliffs Burns Harbor steel plant,United States,exact,operating,1964,59,5000,5000,,,3635,3635,,,>0,>0,,finished rolled,integrated (BF),US,41.631221, -87.143846
SUS00040,Steel Dynamics Butler plant,United States,exact,operating,1996,27,3000,,3000,,,,,,,,,semi-finished; finished rolled,electric,US,41.370640, -84.917454
SUS00041,Steel Dynamics Columbia City plant,United States,exact,operating,2002,21,2000,,2000,,,,,,,,,finished rolled,electric,US,41.121613, -85.348602
SUS00022,Nucor Steel Crawfordsville plant,United States,exact,operating,1989,34,2304,,2304,,,,,,,,,finished rolled,electric,US,39.976379, -86.830727
SUS00009,Cleveland-Cliffs Indiana Harbor steel plant,United States,exact,operating,1901,122,7254,6800,454,,5236,5236,,,>0,,,finished rolled,integrated (BF),US,41.669553, -87.438429
SUS00049,U.S. Steel Gary Works,United States,exact,operating,1908,115,7800,7800,,,6622,6622,,,>0,,unknown,semi-finished; finished rolled,integrated (BF),US,41.620799, -87.348266
SUS00056,Steel Dynamics Engineered Bar Products steel plant,United States,exact,operating,2004,19,725,,725,,,,,,,,,finished rolled,electric,US,39.875508, -86.484214
SUS00059,NLMK Indiana steel plant,United States,exact,operating,1992,31,770,,770,,,,,,,,,finished rolled,electric,US,41.625912, -87.159989
SUS00017,SSAB Americas Iowa steel plant,United States,exact,operating,1997,26,1250,,1250,,,,,,,,,semi-finished,electric,US,41.482009, -90.820921
SUS00036,Nucor Steel Brandenburg plant,United States,exact,operating,2022,1,1089,,1089,,,,,,,,,finished rolled,electric,US,37.9999454, -86.1398738
SUS00019,North American Stainless steel plant,United States,exact,operating,1990,33,1600,,1600,,,,,,,,,finished rolled,electric,US,38.725418, -85.076015
SUS00029-1,Nucor Steel Gallatin plant EAF expansion,United States,exact,operating,2022,1,1271,,1271,,,,,,,,,finished rolled,electric,US,38.759878, -84.996204
SUS00029,Nucor Steel Gallatin plant,United States,exact,operating,1995,28,1452,,1452,,,,,,,,,finished rolled,electric,US,38.759878, -84.996204
SUS00071,Nucor Steel Louisiana,United States,exact,operating,2013,10,,,,,2500,,2500,,unknown,,,crude,ironmaking (DRI),US,30.076693, -90.859953
SUS00003,Cleveland-Cliffs Dearborn steel plant,United States,exact,operating,1920,103,3000,3000,,,2500,2500,,,unknown,,unknown,semi-finished; finished rolled,integrated (BF),US,42.308171, -83.161353
SUS00067,Gerdau Monroe steel plant,United States,exact,operating,1980,43,771,,771,,,,,,,,,semi-finished; finished rolled,electric,US,41.894229, -83.358697
SUS00042,Steel Dynamics Columbus plant,United States,exact,operating,2007,16,3400,,3400,,,,,,,,,semi-finished; finished rolled,electric,US,33.447580, -88.572683
SUS00026,Nucor Steel Norfolk plant,United States,exact,operating,1979,44,1134,,1134,,,,,,,,,finished rolled,electric,US,42.078908, -97.360854
SUS00074,CMC Steel New Jersey plant,United States,exact,operating,1994,29,653,,653,,,,,,,,,finished rolled,electric,US,40.478824, -74.321187
SUS00024,Nucor Steel Hertford plant,United States,exact,operating,2000,23,1542,,1542,,,,,,,,,semi-finished,electric,US,36.353006, -76.811471
SUS00038,Republic Steel Canton plant,United States,exact,operating,1886,137,1092,,1092,,,,,,,,,semi-finished; finished rolled,electric,US,40.804114, -81.334002
SUS00045,Timken Faircrest steel plant,United States,exact,operating,1917,106,1200,,1200,,,,,,,,,semi-finished; finished rolled,electric,US,40.755388, -81.439369
SUS00010,Cleveland-Cliffs Cleveland steel plant,United States,exact,operating,1913,110,4100,4100,,,2810,2810,,,,>0,,semi-finished; finished rolled,integrated (BF),US,41.464041, -81.676499
SUS00070,Charter Steel Cleveland plant,United States,exact,operating,2006,17,635,,635,,,,,,,,,semi-finished; finished rolled,electric,US,41.443147, -81.659911
SUS00020-1,BlueScope North Star Steel plant EAF expansion,United States,exact,operating,2022,1,850,,850,,,,,,,,,finished rolled,electric,US,41.568783, -84.048129
SUS00020,BlueScope North Star Steel plant,United States,exact,operating,1996,27,2183,,2183,,,,,,,,,finished rolled,electric,US,41.568783, -84.048129
SUS00054,Cleveland-Cliffs Mansfield Works,United States,exact,operating,1924,99,600,,600,,,,,,,,,semi-finished; finished rolled,electric,US,40.790123, -82.526239
SUS00004,Cleveland-Cliffs Middletown steel plant,United States,exact,operating,1901,122,3000,3000,,,2090,2090,,,unknown,>0,unknown,semi-finished; finished rolled,integrated (BF),US,39.488589, -84.386197
SUS00018,JSW Steel USA Ohio plant,United States,exact,operating,2018,5,1500,,1500,,,,,,,,,finished rolled,electric,US,40.314891, -80.605553
SUS00052,Cleveland-Cliffs Toledo DRI plant,United States,exact,operating,2020,3,,,,,1900,,1900,,unknown,,unknown,crude,ironmaking (DRI),US,41.672816, -83.477833
SUS00057,Vallourec Star Youngstown steel plant,United States,exact,operating,1985,38,694,,694,,,,,,,,,finished rolled,electric,US,41.125495, -80.683382
SUS00068,Cascade Steel Rolling Mills,United States,exact,operating,1968,55,860,,860,,,,,,,,,semi-finished; finished rolled,electric,US,45.228035, -123.163599
SUS00047,U.S. Steel Edgar Thomson Plant,United States,exact,operating,1875,148,2900,2900,,,2078,2078,,,unknown,,unknown,crude,integrated (BF),US,40.395140, -79.859645
SUS00007,Cleveland-Cliffs Coatesville steel plant,United States,exact,operating,1810,213,800,,800,,,,,,,,,semi-finished; finished rolled,electric,US,39.977819, -75.824512
SUS00002,Cleveland-Cliffs Butler steel plant,United States,exact,operating,1908,115,1000,,1000,,,,,,,,,semi-finished; finished rolled,electric,US,40.845524, -79.921452
SUS00008,Cleveland-Cliffs Steelton steel plant,United States,exact,operating,1866,157,1000,,1000,,,,,,,,,semi-finished; finished rolled,electric,US,40.230720, -76.838506
SUS00076,CMC South Carolina steel plant,United States,exact,operating,1992,31,776,,776,,,,,,,,,finished rolled,electric,US,33.962272, -81.052011
SUS00023,Nucor Steel Darlington plant,United States,exact,operating,1969,54,907,,907,,,,,,,,,finished rolled,electric,US,34.375628, -79.895165
SUS00061,Liberty Steel Georgetown plant,United States,exact,operating,1969,54,908,,908,,,,,,,,,semi-finished; finished rolled,electric,US,33.367258, -79.292515
SUS00021,Nucor Steel Berkeley plant,United States,exact,operating,1996,27,2956,,2956,,,,,,,,,finished rolled,electric,US,33.004319, -79.880955
SUS00077,CMC Tennessee steel plant,United States,exact,operating,2000,23,544,,544,,,,,,,,,finished rolled,electric,US,35.978104, -83.956572
SUS00027,Nucor Steel Memphis plant,United States,exact,operating,2008,15,891,,891,,,,,,,,,finished rolled,electric,US,35.048395, -90.163033
SUS00058,Optimus Steel Beaumont plant,United States,exact,operating,1976,47,700,,700,,,,,,,,,semi-finished; finished rolled,electric,US,30.08201, -94.074694
SUS00031,Nucor Steel Jewett plant,United States,exact,operating,1975,48,907,,907,,,,,,,,,finished rolled,electric,US,31.351853, -96.165436
SUS00014,Gerdau Midlothian Steel Mill,United States,exact,operating,1970,53,1786,,1786,,,,,,,,,semi-finished; finished rolled,electric,US,32.457544, -97.034246
SUS00053,ArcelorMittal Texas DRI plant,United States,exact,operating,2017,6,,,,,2000,,2000,,,,,crude,ironmaking (DRI),US,27.888929, -97.282062
SUS00012,CMC Steel Texas plant,United States,exact,operating,1982,41,943,,943,,,,,,,,,finished rolled,electric,US,29.577459, -98.032017
SUS00043,Steel Dynamics Sinton plant,United States,exact,operating,2022,1,2722,,2722,,,,,,,,,semi-finished; finished rolled,electric,US,28.051820, -97.488040
SUS00034,Nucor Steel Plymouth plant,United States,exact,operating,1981,42,908,,908,,,,,,,,,finished rolled,electric,US,41.882789, -112.196743
SUS00015,Gerdau Petersburg Steel Mill,United States,exact,operating,1998,25,1000,,1000,,,,,,,,,semi-finished; finished rolled,electric,US,37.181168, -77.449517
SUS00055,Steel Dynamics Roanoke steel plant,United States,exact,operating,1955,68,660,,660,,,,,,,,,crude,electric,US,37.272927, -79.998828
SUS00035,Nucor Steel Seattle plant,United States,exact,operating,1904,119,855,,855,,,,,,,,,finished rolled,electric,US,47.569597, -122.367395
SUS00069,Charter Steel Saukville plant,United States,exact,operating,1991,32,550,,550,,,,,,,,,semi-finished; finished rolled,electric,US,43.400533, -87.94820
