ProjectID;Fuel;StartCountry;EndCountry;Countries;Wiki;PipelineName;SegmentName;OtherEnglishNames;Owner;Parent;Status;StartYear1;StartYear2;StartYear3;StopYear;Capacity;CapacityUnits;CapacityBcm/y;CapacityBOEd;LengthKnownKm;LengthEstimateKm;LengthMergedKm;Diameter;DiameterUnits;FuelSource;StartLocation;StartRegion;StartPrefecture/District;StartState/Province;EndLocation;EndPrefecture/District;EndState/Province;EndRegion;FID;FIDYear;OtherLanguagePrimaryPipelineName;OtherLanguageSegmentName;OtherLanguageWikiPage;WKTFormat
P4770;Gas;China;China;China;https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline;Jiangsu Coastal Gas Pipeline;Xinghua–Yangzhou Pipeline;;Jiangsu Coastal Gas Pipeline Co., Ltd. [400.00%];"Jiangsu Guoxin Investment Group Limited [51.00%]; Xuzhou Coal MINING Group Corp. [38.00%]; Jiangsu Yanhai Development Group Co., Ltd. [10.00%]; other [1.00%]";Proposed;;;;;1.81;bcm/y;1.81;842.34;133;115.17;133;508;mm;;Xinghua;East Asia;Taizhou;Jiangsu;Yizheng;Yangzhou;Jiangsu;East Asia;;;江苏沿海输气管道;;;LINESTRING (119.924231 32.8334239, 119.921093 32.8182233, 119.917465 32.8044937, 119.917269 32.7964521, 119.920113 32.7914507, 119.914575 32.7798615, 119.914656 32.7689799, 119.917719 32.7597911, 119.915948 32.7469915, 119.908753 32.7359219, 119.905571 32.7260976, 119.913323 32.7154951, 119.909467 32.7049789, 119.901931 32.696566, 119.892466 32.6823692, 119.877042 32.6674714, 119.861582 32.6617184, 119.853031 32.6587079, 119.845564 32.6563788, 119.842597 32.6464908, 119.839433 32.6369982, 119.807198 32.623946, 119.79909 32.6118825, 119.786631 32.6081251, 119.777732 32.6075318, 119.775161 32.6004124, 119.772392 32.5952706, 119.765866 32.5925019, 119.759845 32.5766658, 119.753629 32.5481936, 119.745413 32.5449388, 119.73948 32.5370284, 119.727615 32.5383468, 119.723494 32.5289531, 119.717397 32.5277995, 119.71476 32.5126378, 119.704656 32.5102194, 119.667833 32.4929183, 119.646853 32.4834042, 119.639535 32.4763296, 119.636364 32.469255, 119.630753 32.4663276, 119.645146 32.4480313, 119.653928 32.4246119, 119.654172 32.4111946, 119.638315 32.4087551, 119.628801 32.399241, 119.617579 32.3875313, 119.60221 32.3824084, 119.564886 32.3772854, 119.539179 32.3606518, 119.511125 32.3533332, 119.454565 32.3601691, 119.43672 32.3519483, 119.413461 32.3523493, 119.36554 32.346334, 119.327953 32.3409604, 119.272332 32.3386185, 119.237719 32.3310925, 119.219666 32.3323122, 119.185025 32.3237739, 119.169169 32.3342638, 119.151116 32.3410945, 119.128917 32.3408505)
P4771;Gas;China;China;China;https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline;Jiangsu Coastal Gas Pipeline;Yanweigang Gas Pipeline;;Jiangsu Coastal Gas Pipeline Co., Ltd. [400.00%];"Jiangsu Guoxin Investment Group Limited [51.00%]; Xuzhou Coal MINING Group Corp. [38.00%]; Jiangsu Yanhai Development Group Co., Ltd. [10.00%]; other [1.00%]";Proposed;;;;;;;--;--;74;--;74;323.8;mm;;;East Asia;Lianyungang;Jiangsu;Yanweigang;Lianyungang;Jiangsu;East Asia;;;江苏沿海输气管道;;;--
P4772;Gas;China;China;China;https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline;Jiangsu Coastal Gas Pipeline;Zhaoji Gas Storage-Liuzhuang Gas Staorage Pipeline;;Jiangsu Coastal Gas Pipeline Co., Ltd. [400.00%];"Jiangsu Guoxin Investment Group Limited [51.00%]; Xuzhou Coal MINING Group Corp. [38.00%]; Jiangsu Yanhai Development Group Co., Ltd. [10.00%]; other [1.00%]";Proposed;;;;;;;--;--;95;--;95;711;mm;Xuzhou–Suqian–Huai'an–Yancheng Pipeline;Siyang;East Asia;Suqian;Jiangsu;Jinhu;Huai'an;Jiangsu;East Asia;;;江苏沿海输气管道;;;--
P4773;Gas;China;China;China;https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline;Jiangsu Coastal Gas Pipeline;Xuzhou–Suqian–Huai'an–Yancheng Pipeline;;Jiangsu Coastal Gas Pipeline Co., Ltd. [400.00%];"Jiangsu Guoxin Investment Group Limited [51.00%]; Xuzhou Coal MINING Group Corp. [38.00%]; Jiangsu Yanhai Development Group Co., Ltd. [10.00%]; other [1.00%]";Proposed;;;;;7.28;bcm/y;7.28;3387.99;332;181.19;332;711;mm;;;East Asia;;Jiangsu;;;Jiangsu;East Asia;;;江苏沿海输气管道;;;LINESTRING (117.9158255 34.250755, 117.9142942 34.23391, 117.8966842 34.230082, 117.8943873 34.214769, 117.9012781 34.194097, 117.8974499 34.162705, 117.8844338 34.143563, 117.8637612 34.140501, 117.8635076 34.045059, 117.8670285 33.98579, 117.9081063 33.96349, 117.9538786 33.967011, 118.0002378 33.945299, 118.0536389 33.942365, 118.1076268 33.915371, 118.1393154 33.910089, 118.1938901 33.86197, 118.2408361 33.847886, 118.2895426 33.840844, 118.3094947 33.825586, 118.3576143 33.827934, 118.3814163 33.813995, 118.4091329 33.811224, 118.4541722 33.806373, 118.5296998 33.77935, 118.6682824 33.777271, 118.7244084 33.764799, 118.7687549 33.74609, 118.8650698 33.738468, 118.9696997 33.723224, 119.00781 33.698972, 119.0965251 33.697286, 119.1286762 33.665135, 119.1417376 33.648054, 119.1859455 33.642026, 119.1959928 33.623941, 119.2974699 33.544568)
P4774;Gas;China;China;China;https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline;Jiangsu Coastal Gas Pipeline;Huai'an–Jianhu–Yancheng Pipeline;;Jiangsu Coastal Gas Pipeline Co., Ltd. [400.00%];"Jiangsu Guoxin Investment Group Limited [51.00%]; Xuzhou Coal MINING Group Corp. [38.00%]; Jiangsu Yanhai Development Group Co., Ltd. [10.00%]; other [1.00%]";Proposed;;;;;4.8;bcm/y;4.8;2233.84;112;--;112;;;;;East Asia;Huai'an;Jiangsu;;Yancheng;Jiangsu;East Asia;;;江苏沿海输气管道;;;--
P4775;Gas;China;China;China;https://www.gem.wiki/Binhai_LNG_Transport_pipeline_(Binhai-Xuyi,_Tianchang-Hefei);Jiangsu Coastal Gas Pipeline;Binhai LNG Transport Pipeline (Binhai-Xuyi, Tianchang-Hefei);;National Pipe Network Group Jiangsu Natural Gas Pipeline Co., Ltd. [300.00%];"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [76.00%]; Huaihe Energy Holding Group Co., Ltd. [19.90%]; other [4.10%]";Construction;;;;;5.95;bcm/y;5.95;2769.03;533.4;444.73;533.4;;;[[Yancheng LNG Terminal]];Binhai;East Asia;Yancheng;Jiangsu;;Hefei;Anhui;East Asia;;;江苏沿海输气管道;;;MULTILINESTRING ((120.268185 34.274036, 119.824345 33.924165, 119.038198 33.326267, 118.611479 33.104815, 118.893442 32.689381, 118.458206 32.449768, 118.292421 32.069713, 117.493076 31.876201), (119.824345 33.924165, 119.844087 33.765925))
P4776;Gas;China;China;China;https://www.gem.wiki/Jiangxi_Natural_Gas_Pipeline_Network;Jiangxi Natural Gas Pipeline Network;Phase I, Fengcheng-Fuzhou;;Jiangxi Natural Gas Pipeline Co., Ltd. [300.00%];"Jiangxi Provincial Investment Group Corp. [48.60%]; National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [46.00%]; Jiangxi Financial Investment Group Co., Ltd. [5.40%]";Operating;2010.0;;;;;;--;--;1518;61.36;1518;;;;;East Asia;;Jiangxi;;;Jiangxi;East Asia;;;江西省天然气管网;;;LINESTRING (115.8243916 28.0444519, 115.8738958 28.0364557, 115.9196788 28.0257731, 115.9486746 28.0234839, 115.9646986 28.0189056, 116.0112446 28.0288252, 116.0822081 28.0395079, 116.1203606 28.0471384, 116.1829306 28.0494276, 116.2264243 28.0692668, 116.2821269 28.0707929, 116.361484 28.0830017, 116.4156604 28.0891061, 116.4347868 28.0905164)
P4777;Gas;China;China;China;https://www.gem.wiki/Jiangxi_Natural_Gas_Pipeline_Network;Jiangxi Natural Gas Pipeline Network;Phase I, Fengcheng-Fuzhou;;Jiangxi Natural Gas Pipeline Co., Ltd. [300.00%];"Jiangxi Provincial Investment Group Corp. [48.60%]; National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. [46.00%]; Jiangxi Financial Investment Group Co., Ltd. [5.40%]";Operating;2010.0;;;;;;--;--;--;61.36;61.36;;;;;East Asia;;Jiangxi;;;Jiangxi;East Asia;;;江西省天然气管网;;;LINESTRING (115.8243916 28.0444519, 115.8738958 28.0364557, 115.9196788 28.0257731, 115.9486746 28.0234839, 115.9646986 28.0189056, 116.0112446 28.0288252, 116.0822081 28.0395079, 116.1203606 28.0471384, 116.1829306 28.0494276, 116.2264243 28.0692668, 116.2821269 28.0707929, 116.361484 28.0830017, 116.4156604 28.0891061, 116.4347868 28.0905164)
P4778;Gas;China;China;China;https://www.gem.wiki/Jiangxi_Natural_Gas_Pipeline_Network;Jiangxi Natural Gas Pipeline Network;Phase I, Gao'an-Xinyu;;West To East Gas Transmission Branch of National Petroleum Pipeline Network Group Co., Ltd. [100.00%];West To East Gas Transmission Branch of National Petroleum Pipeline Network Group Co., Ltd. [100.00%];Operating;2010.0;;;;1;bcm/y;1;465.38;--;56.86;56.86;;;;Gao'an;East Asia;Yichun;jiangxi;;Xinyu;jiangxi;East Asia;;;江西省天然气管网;;;LINESTRING (115.3980799 28.270806, 115.3460692 28.2227335, 115.252226 28.1685353, 115.2080644 28.1454509, 115.1448332 28.1063077, 115.0826995 28.0633189, 115.049662 28.0428273, 115.0249884 28.0202447, 115.0074242 27.9855344, 114.9898599 27.9562606, 114.9735503 27.935769)
P4779;Gas;China;China;China;https://www.gem.wiki/Jiangxi_Natural_Gas_Pipeline_Network;Jiangxi Natural Gas Pipeline Network;Phase I, Jiujiang-Jingdezhen;;West To East Gas Transmission Branch of National Petroleum Pipeline Network Group Co., Ltd. [100.00%];West To East Gas Transmission Branch of National Petroleum Pipeline Network Group Co., Ltd. [100.00%];Operating;2010.0;;;;3;bcm/y;3;1396.15;--;118.43;118.43;508;mm;;Lushan;East Asia;Jiujiang;Jiangxi;;Jingdezhen;Jiangxi;East Asia;;;江西省天然气管网;;;LINESTRING (116.0545736 29.6788509, 116.1717418 29.6738294, 116.258781 29.6386789, 116.2855623 29.5516397, 116.3407988 29.4227547, 116.3859922 29.3859304, 116.4864221 29.35078, 116.5650921 29.330694, 116.6437622 29.3173033, 116.7241061 29.3055865, 116.8228622 29.3055865, 116.8881416 29.2838267, 116.9249659 29.2536978, 116.9802023 29.2336118, 117.0019621 29.2252426, 117.0287434 29.211852)
