TerminalID;ProjectID;ComboID;Country;Region;Wiki;TerminalName;UnitName;OtherEnglishNames;Owner;Parent;Status;StartYear1;StartYear2;StartYear3;StopYear;Import/Export;Capacity;CapacityUnits;CapacityInMtpa;Location;Prefecture/District;State/Province;Latitude;Longitude;Accuracy;Floating;FID;FIDYear;OtherLanguageName;PowerPlantsSupplied;OtherLanguageWikiPage
T0275;6;T027506;Indonesia;SE Asia;https://www.gem.wiki/Arun_LNG_Terminal;Arun LNG Terminal;T6;;"Pertamina [55.00%]; ExxonMobil [30.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]";"Pertamina [55.00%]; ExxonMobil [30.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]";Retired;1986;;;;Export;3.5;mtpa;3.5;Lhokseumawe;;Sumatra;5.2234;97.083;approximate;;;;;;
T0276;0;T027600;Indonesia;SE Asia;https://www.gem.wiki/Benoa_FSRU;Benoa FSRU;;Bali FSRU Terminal;"JSK Group [50.00%]; PT Pelindo 3 [50.00%]";"JSK Group [50.00%]; PT Pelindo 3 [50.00%]";Operating;2016;;;;Import;0.35;mtpa;0.35;Tanjung Benoa;Kuta South District;Badung, Bali;-8.746306;115.2094864;exact;yes;;;;;
T0277;0;T027700;Indonesia;SE Asia;https://www.gem.wiki/Bojonegara_LNG_Terminal;Bojonegara LNG Terminal;;;"Kalla Group [unknown %]; Pertamina [unknown %]";"Kalla Group [unknown %]; Pertamina [unknown %]";Cancelled;;;;;Import;7;mtpa;7;Bojonegara;Serang;Banten;-5.8846501;106.0554886;approximate;;;;;;
T0278;1;T027801;Indonesia;SE Asia;https://www.gem.wiki/Bontang_LNG_Terminal;Bontang LNG Terminal;A;;"Pertamina [55.00%]; VICO Energy [40.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; TotalEnergies [10.00%]";"Pertamina [55.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; BP [10.00%]; Eni SpA [10.00%]; TotalEnergies [10.00%]";Retired;1977;;;;Export;2.7;mtpa;2.7;Bontang;;East Kalimantan;0.10123;117.4701;approximate;;;;;;
T0278;2;T027802;Indonesia;SE Asia;https://www.gem.wiki/Bontang_LNG_Terminal;Bontang LNG Terminal;B;;"Pertamina [55.00%]; VICO Energy [40.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; TotalEnergies [10.00%]";"Pertamina [55.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; BP [10.00%]; Eni SpA [10.00%]; TotalEnergies [10.00%]";Retired;1977;;;;Export;2.7;mtpa;2.7;Bontang;;East Kalimantan;0.10123;117.4701;approximate;;;;;;
T0278;3;T027803;Indonesia;SE Asia;https://www.gem.wiki/Bontang_LNG_Terminal;Bontang LNG Terminal;C;;"Pertamina [55.00%]; VICO Energy [40.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; TotalEnergies [10.00%]";"Pertamina [55.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; BP [10.00%]; Eni SpA [10.00%]; TotalEnergies [10.00%]";Retired;1980;;;;Export;2.7;mtpa;2.7;Bontang;;East Kalimantan;0.10123;117.4701;exact;;;;;;
T0278;4;T027804;Indonesia;SE Asia;https://www.gem.wiki/Bontang_LNG_Terminal;Bontang LNG Terminal;D;;"Pertamina [55.00%]; VICO Energy [40.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; TotalEnergies [10.00%]";"Pertamina [55.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; BP [10.00%]; Eni SpA [10.00%]; TotalEnergies [10.00%]";Retired;1980;;;;Export;2.7;mtpa;2.7;Bontang;;East Kalimantan;0.10123;117.4701;exact;;;;;;
T0278;5;T027805;Indonesia;SE Asia;https://www.gem.wiki/Bontang_LNG_Terminal;Bontang LNG Terminal;E;;"Pertamina [55.00%]; VICO Energy [40.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; TotalEnergies [10.00%]";"Pertamina [55.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; BP [10.00%]; Eni SpA [10.00%]; TotalEnergies [10.00%]";Operating;1990;;;;Export;2.3;mtpa;2.3;Bontang;;East Kalimantan;0.10123;117.4701;exact;;;;;;
T0278;6;T027806;Indonesia;SE Asia;https://www.gem.wiki/Bontang_LNG_Terminal;Bontang LNG Terminal;F;;"Pertamina [55.00%]; VICO Energy [40.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; TotalEnergies [10.00%]";"Pertamina [55.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; BP [10.00%]; Eni SpA [10.00%]; TotalEnergies [10.00%]";Operating;1994;;;;Export;2.3;mtpa;2.3;Bontang;;East Kalimantan;0.10123;117.4701;exact;;;;;;
T0278;7;T027807;Indonesia;SE Asia;https://www.gem.wiki/Bontang_LNG_Terminal;Bontang LNG Terminal;G;;"Pertamina [55.00%]; VICO Energy [40.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; TotalEnergies [10.00%]";"Pertamina [55.00%]; PT Japan Indonesia LNG Co (JILCO) [15.00%]; BP [10.00%]; Eni SpA [10.00%]; TotalEnergies [10.00%]";Operating;1998;;;;Export;2.3;mtpa;2.3;Bontang;;East Kalimantan;0.10123;117.4701;exact;;;;;;
